2024-12-01 11:23:20,823 | Function: wrapper | Time: 1.4039 seconds
2024-12-01 11:26:02,901 | Function: wrapper | Time: 0.0007 seconds
2024-12-01 11:26:02,923 | Function: wrapper | Time: 0.0006 seconds
2024-12-01 11:26:02,930 | Function: wrapper | Time: 0.0142 seconds
2024-12-01 11:26:02,931 | Function: wrapper | Time: 0.0000 seconds
2024-12-01 11:26:02,933 | Function: wrapper | Time: 0.0375 seconds
2024-12-01 11:26:02,938 | Function: wrapper | Time: 0.0006 seconds
2024-12-01 11:26:02,939 | Function: wrapper | Time: 0.0000 seconds
2024-12-01 11:26:02,941 | Function: wrapper | Time: 0.0006 seconds
2024-12-01 11:26:02,943 | Function: wrapper | Time: 0.0000 seconds
2024-12-01 11:26:04,334 | Function: wrapper | Time: 1.3965 seconds
2024-12-01 11:27:51,143 | Function: extract_body | Time: 0.0002 seconds
2024-12-01 11:27:51,145 | Function: extract_body | Time: 0.0001 seconds
2024-12-01 11:27:51,146 | Function: extract_urls | Time: 0.0023 seconds
2024-12-01 11:27:51,146 | Function: extract_attachments | Time: 0.0000 seconds
2024-12-01 11:27:51,147 | Function: check_eml | Time: 0.0057 seconds
2024-12-01 11:27:51,149 | Function: extract_email_from_string | Time: 0.0001 seconds
2024-12-01 11:27:51,149 | Function: extract_email_from_string | Time: 0.0000 seconds
2024-12-01 11:27:51,151 | Function: is_valid_email | Time: 0.0002 seconds
2024-12-01 11:27:51,151 | Function: is_valid_email | Time: 0.0000 seconds
2024-12-01 11:27:52,564 | Function: check_external_apis | Time: 1.4154 seconds
2024-12-01 11:29:02,021 | Function: extract_body | Time: 0.0008 seconds
2024-12-01 11:29:02,030 | Function: extract_body | Time: 0.0005 seconds
2024-12-01 11:29:02,032 | Function: extract_urls | Time: 0.0089 seconds
2024-12-01 11:29:02,032 | Function: extract_attachments | Time: 0.0000 seconds
2024-12-01 11:29:02,033 | Function: check_eml | Time: 0.0188 seconds
2024-12-01 11:29:02,040 | Function: extract_email_from_string | Time: 0.0004 seconds
2024-12-01 11:29:02,040 | Function: extract_email_from_string | Time: 0.0000 seconds
2024-12-01 11:29:02,041 | Function: is_valid_email | Time: 0.0003 seconds
